,fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
18679,150.395,53.5461,3.4358,0.1239,0.0717,-120.156,-78.5395,-21.5853,14.623,270.337,1
15045,34.8491,15.3844,2.7723,0.5087,0.3672,29.797,17.938,8.7939,15.8249,147.3523,1
14816,167.404,58.5426,3.254,0.1228,0.0852,-167.8803,-27.4232,43.1089,40.7275,225.1507,1
18384,34.9876,16.5627,2.5197,0.4157,0.2155,44.5454,19.6437,-9.7277,38.242,209.3256,1
12621,18.6761,16.1222,2.4772,0.5361,0.2718,-3.3256,7.2379,-12.5515,69.5612,194.6364,1
13546,111.715,48.5447,3.6944,0.1291,0.0676,-189.629,80.4364,-40.3836,12.3077,352.503,1
14437,243.7113,117.4906,3.566,0.1051,0.0579,-257.9786,-133.1468,103.3178,30.7446,120.3981,1
16268,20.6868,11.3805,2.3082,0.6201,0.3162,-18.7804,-12.0506,-11.2285,50.1761,128.3896,1
18558,28.4899,1.623,2.4914,0.7142,0.4732,9.3656,20.1165,2.5039,26.6149,194.6653,1
16210,23.8385,14.9777,2.7109,0.3858,0.1863,38.5933,21.3687,-2.2535,20.3408,188.5054,1
18213,94.012,18.8373,2.8929,0.3417,0.1913,55.5076,105.671,-14.3732,34.667,308.911,1
15319,33.5123,9.5221,2.7088,0.4532,0.3232,12.0684,14.803,7.4395,75.5099,107.0847,1
14743,203.2062,18.6054,2.5156,0.5593,0.3358,-160.8979,-116.4839,-10.5328,50.9302,202.2802,1
14741,40.9971,10.7453,2.7242,0.3977,0.3122,7.5196,35.0392,0.1713,85.3956,179.314,1
15583,14.2327,13.5176,2.5601,0.483,0.2702,9.806,-0.1953,0.956,50.1706,163.8506,1
18295,126.5,110.3594,4.0604,0.121,0.073,-62.9577,62.8116,70.3253,49.4252,373.9664,1
13884,22.414,7.7158,2.2941,0.6328,0.3397,-8.8176,-34.795,-3.3566,53.737,112.6728,1
13351,73.5167,12.1429,3.0099,0.3203,0.1552,0.6268,58.406,-8.1276,16.3814,199.8284,1
15515,64.2993,31.9608,3.7132,0.1854,0.0897,-21.8394,-61.5848,-14.6369,21.6221,221.5627,1
14200,22.2544,0.0039,2.1021,0.751,0.4466,-1.6598,9.9238,0.0,68.0372,196.096,1
16683,23.251,17.6772,2.6048,0.4845,0.277,25.0677,21.5714,-14.7494,25.3941,244.06,1
13731,38.0349,12.8489,2.2504,0.573,0.3062,30.0231,17.8761,5.8187,40.2139,246.087,1
17093,17.047,12.8708,2.4455,0.7794,0.4883,19.1869,17.4565,11.8092,61.3508,219.6848,1
15560,28.1579,9.3602,2.4864,0.5514,0.3246,11.4293,14.3539,5.1992,47.948,60.7816,1
18926,30.9613,29.2707,2.9274,0.2553,0.1342,20.428,25.6102,23.6745,30.1648,222.764,1
15430,21.948,0.0044,2.3064,0.8346,0.4519,21.4071,17.4558,0.0001,21.3668,71.3087,1
18194,30.7372,13.1739,2.7364,0.4183,0.2321,9.3225,25.4618,6.6722,44.74,244.411,1
17681,189.784,103.0273,4.3485,0.0716,0.0265,-194.2488,-143.8078,-60.1889,80.585,186.977,1
13028,163.898,43.3357,3.5844,0.1562,0.0879,-120.434,-117.601,-39.051,22.1918,306.628,1
14256,22.7506,16.4464,2.5428,0.4155,0.2135,-11.2582,-10.7156,-12.5053,55.578,173.086,1
18885,125.4721,25.3788,2.802,0.366,0.171,149.4692,-57.274,25.1217,14.7839,92.7216,1
13616,126.609,41.9329,3.461,0.2103,0.1233,-129.054,-120.058,-15.7828,29.6115,369.928,1
14776,87.637,29.2665,3.2308,0.1646,0.0867,74.5366,89.6429,7.2633,34.699,225.76,1
17645,16.6775,11.4413,2.3385,0.5826,0.305,1.9848,-6.7611,-4.1854,61.153,221.504,1
13657,99.1059,51.2927,4.0321,0.1035,0.0491,-67.0572,57.9732,-56.4764,37.1652,281.1467,1
14205,47.7956,15.0152,2.695,0.3653,0.1826,28.8167,32.878,-7.7357,31.24,203.792,1
14503,38.1755,13.8329,2.713,0.3196,0.1852,55.2558,27.0943,6.7129,47.2068,192.1503,1
18802,26.5934,15.2959,2.2844,0.4364,0.2312,4.7208,10.5441,-13.1072,1.663,220.371,1
18435,61.9162,14.3146,3.0734,0.2785,0.1444,59.65,30.1938,-0.9945,70.6187,223.2091,1
17320,294.3411,59.6299,3.304,0.1888,0.1147,396.3379,-178.559,-45.1044,57.5015,128.5567,1
14119,31.5356,12.3269,2.7709,0.3678,0.1856,29.2554,10.6413,3.648,68.3389,122.715,1
17452,59.8452,23.981,2.9299,0.3091,0.1689,-12.4594,-54.837,-12.8509,4.9917,136.6318,1
17510,21.9325,6.617,2.4057,0.7308,0.4342,-22.5289,-13.7398,6.6181,58.5795,148.425,1
14900,162.904,44.1157,3.3998,0.2199,0.1157,-159.409,-95.9851,-42.3085,2.607,298.891,1
13640,105.097,37.5284,2.8701,0.2428,0.1531,102.255,23.2937,11.8226,26.715,155.873,1
15323,48.0448,4.6115,2.8763,0.4086,0.2213,34.0513,24.3113,4.253,40.7952,166.4561,1
16192,85.7914,23.9698,3.227,0.2182,0.079,-75.4051,75.0356,21.5026,10.3207,261.0096,1
12760,36.4676,17.3779,2.6179,0.3372,0.1885,-2.6738,-26.6732,14.9355,46.7456,196.1418,1
18240,49.645,22.0241,3.0652,0.2145,0.1241,14.8948,-11.6764,-11.1474,24.2903,112.6932,1
12785,85.6186,21.3754,2.7392,0.2717,0.1431,-67.7877,-52.2066,-3.5756,63.924,112.012,1
14948,18.8098,14.7872,2.3262,0.6636,0.3923,-12.7485,-24.1161,-13.2387,64.0754,125.1564,1
16930,22.5869,15.6789,2.56,0.4892,0.2648,-32.2402,-0.2869,7.846,59.4342,153.701,1
17045,30.9108,11.5379,2.7404,0.4782,0.2827,-26.0397,-26.5375,4.8576,61.92,174.149,1
14455,141.639,43.1145,2.7825,0.3696,0.1972,132.438,58.2355,-30.8145,3.2109,299.94,1
15690,31.4974,9.4772,2.6744,0.5249,0.3058,-7.4125,11.3131,-4.3687,70.395,206.017,1
13678,34.1189,9.7133,2.5378,0.3884,0.1957,43.0863,27.3881,6.4198,54.874,156.032,1
17565,35.4707,8.6958,2.5729,0.4641,0.2453,-8.9429,-18.9651,-1.5626,73.6414,107.2643,1
14167,27.8745,14.7574,2.451,0.577,0.3097,8.1793,26.1578,-14.3106,4.331,205.245,1
15012,24.2757,10.8321,2.5883,0.6374,0.329,-10.9739,9.5183,-11.3568,23.102,208.029,1
15872,42.3885,27.1735,2.9061,0.2495,0.1273,-44.2499,-28.4107,25.4948,79.013,171.099,1
16179,22.8297,16.87,2.5173,0.3954,0.2177,-15.9797,10.8128,-5.5463,60.0278,182.35,1
14750,156.238,19.8869,2.7716,0.643,0.3443,-35.1942,-169.783,14.2535,16.183,312.115,1
15386,36.5524,29.9973,3.0915,0.2348,0.1247,9.6851,11.4084,-17.1411,86.9033,182.5023,1
12981,14.8307,11.3327,2.6411,0.719,0.452,-5.7155,21.4362,-7.904,80.3825,263.0219,1
14813,23.9604,12.8211,2.567,0.4201,0.2344,21.1438,11.9696,-6.8281,8.4918,202.648,1
15738,11.4877,1.9614,2.3196,0.8267,0.4684,-6.4155,-1.8397,4.5423,78.0487,159.5087,1
12476,27.998,19.7625,2.7238,0.4458,0.3069,37.4322,36.0989,-16.4086,86.5286,147.2552,1
15089,17.3371,11.4607,2.5533,0.6406,0.4573,-3.3701,10.5042,-11.3435,4.3202,241.61,1
14884,53.9626,10.1645,2.9143,0.3228,0.1675,-13.777,14.6327,4.9056,31.443,167.529,1
14186,141.967,51.2485,3.1421,0.2358,0.1273,-155.744,103.076,39.6457,47.14,274.685,1
17487,243.157,142.458,3.6309,0.131,0.0661,-195.688,-219.973,125.381,71.309,341.788,1
15224,157.9876,82.8141,3.1533,0.3786,0.2174,-170.8765,-138.2061,-64.0302,27.9254,387.7986,1
15699,48.5138,33.7706,2.9582,0.1738,0.1111,-35.7116,-41.1418,-28.7975,72.2367,144.9764,1
16236,33.3489,32.7464,2.9191,0.2946,0.1373,30.8923,25.4779,26.8952,20.799,241.7025,1
17195,17.9003,10.3235,2.3766,0.7143,0.4433,-7.1192,14.674,-5.4557,71.226,110.134,1
18254,37.3435,10.5345,2.7962,0.6223,0.2963,18.3533,40.0429,-2.3214,20.884,103.4464,1
17106,48.9652,17.4282,2.9922,0.2808,0.1742,-32.7891,15.258,8.6516,61.9208,151.4106,1
14123,76.0476,25.7577,2.9327,0.2604,0.1302,44.8835,-59.8816,-20.4925,16.9915,50.1282,1
15269,28.136,8.851,2.4935,0.4815,0.2552,35.9079,17.2341,-6.8534,67.751,117.934,1
14801,103.3298,78.7427,3.9179,0.1365,0.0785,-26.9567,-50.451,29.2239,85.9291,386.6087,1
16587,39.0077,14.1279,2.6238,0.3971,0.2057,-38.2222,-27.1715,5.9522,76.406,273.704,1
15372,13.087,10.5001,2.1538,0.7789,0.4947,13.0447,5.0574,-9.8116,24.766,177.997,1
18226,49.6784,5.1439,2.9357,0.4163,0.2329,33.3423,36.6091,-0.9971,7.25,157.3256,1
13068,82.7549,20.2817,2.8631,0.3716,0.2212,-78.0738,-85.3215,17.4832,89.8116,199.8195,1
15946,86.0727,22.7684,2.8494,0.3634,0.1881,-101.9057,39.754,12.5034,29.3861,176.8892,1
15999,44.3788,14.3154,2.8704,0.4363,0.2825,33.1641,36.0734,9.8899,60.4565,162.1778,1
14382,96.4412,87.684,3.8398,0.0831,0.0422,-81.538,88.0748,75.3583,6.6557,252.919,1
16424,27.4623,14.5438,2.6972,0.4076,0.2139,-7.2916,15.9895,-10.396,14.4566,199.615,1
14619,9.9536,7.1107,2.2997,0.4666,0.3058,1.8871,7.3527,6.4305,50.6512,60.8781,1
15552,121.1233,50.6328,3.4752,0.3504,0.1822,-56.5334,-89.1491,43.6567,31.139,368.2216,1
14114,15.1409,7.59,2.4728,0.6516,0.4086,11.2603,15.7032,2.0275,28.71,230.05,1
16931,14.9725,11.0461,2.4952,0.5686,0.3141,11.9146,26.4058,-11.5537,4.1304,179.3368,1
17274,82.6957,14.9488,3.1826,0.2069,0.1061,-45.1604,36.1808,12.8535,65.25,173.01,1
18075,20.575,4.6982,2.0837,0.7266,0.4468,11.149,-9.4999,-9.5461,32.0593,234.2099,1
17563,47.1049,11.2182,2.6246,0.3341,0.1915,2.5201,15.7807,-1.7044,70.5317,58.9963,1
15963,28.6404,19.121,2.781,0.3543,0.2078,25.9066,18.6593,4.2748,2.5401,145.927,1
18931,57.7031,17.9759,2.5569,0.2857,0.154,-11.0854,-55.4716,-14.2632,65.006,190.694,1
14695,25.0966,9.6939,2.5885,0.6108,0.4682,26.6969,14.9191,-6.1255,30.7288,117.6345,1
14633,74.0969,39.6845,2.9659,0.4673,0.2558,-59.2,-60.4726,-20.5402,7.924,270.783,1
14997,42.3216,17.0519,2.7316,0.3994,0.257,64.2798,19.6252,-17.3291,74.1519,151.5223,1
16568,30.7608,17.8241,2.7059,0.3622,0.2037,26.5204,-7.4183,18.2921,40.4061,229.209,1
18668,106.633,17.3276,3.2084,0.2574,0.1321,22.5895,61.3237,17.7452,12.15,310.688,1
17604,70.2044,13.8444,3.0624,0.2165,0.1087,-7.9688,-20.6338,4.3559,58.2394,174.857,1
14044,27.3838,10.6979,2.6593,0.4466,0.2267,18.3774,1.7313,-1.1545,36.9013,117.5229,1
14964,107.547,21.5764,2.8448,0.3188,0.1694,51.8313,38.5643,14.6639,12.9259,114.517,1
18214,19.4733,11.8091,2.5792,0.5744,0.3096,-1.8261,12.4254,6.1723,78.876,129.37,1
12743,33.8967,6.7047,2.5784,0.4375,0.2171,63.6147,28.5768,5.2084,7.2252,251.7303,1
16940,101.9251,74.4911,3.0479,0.1488,0.0852,-99.4857,-94.8429,-89.9773,1.8264,217.6671,1
13112,17.8481,10.5084,2.3927,0.6275,0.3381,-21.4824,-10.9999,5.5515,10.016,109.651,1
18925,29.8,16.3967,2.3847,0.5072,0.3031,26.8663,26.4139,4.82,60.757,234.413,1
12558,52.8873,21.6376,3.0466,0.3457,0.1903,35.5261,46.9113,-6.1959,88.7428,167.667,1
12511,13.0046,10.9848,2.1189,0.7529,0.4525,-14.1025,6.2012,9.7395,70.6543,175.459,1
15596,94.121,17.1116,3.2054,0.2423,0.1022,-144.6704,67.6891,17.7171,3.8489,174.0073,1
14846,185.451,60.9507,3.8922,0.0586,0.0301,-101.691,-186.171,-21.0278,20.877,84.4044,1
14025,29.4301,15.8254,2.7223,0.4072,0.2082,34.3167,31.2613,-4.6801,0.9533,221.9073,1
15261,13.2519,10.7242,2.2889,0.7815,0.4139,14.6456,2.5132,11.8198,21.265,197.845,1
14079,58.0731,17.7728,2.7551,0.464,0.268,-67.8974,23.8663,-9.7343,67.9393,192.844,1
18445,125.278,39.8098,3.0179,0.2946,0.1627,73.9883,136.223,37.5513,50.4921,286.965,1
15700,41.658,14.2577,2.5695,0.3673,0.2081,4.1599,38.6242,8.0686,51.8428,228.2805,1
17412,184.5624,45.8357,3.1955,0.3381,0.1972,-98.3537,-184.0151,30.1335,31.0807,313.2693,1
16974,16.7528,14.3809,2.288,0.635,0.362,5.7255,1.4854,7.6249,17.8318,193.8342,1
13272,180.9538,51.4932,3.5246,0.1272,0.06,78.761,98.1494,-38.3703,11.915,130.982,1
18847,41.8902,19.1267,2.912,0.3491,0.1929,58.3412,-9.5757,9.5459,42.689,168.732,1
16542,214.4246,25.0263,2.8975,0.2188,0.1527,155.2837,217.624,14.211,18.6414,110.4345,1
14064,79.5533,45.0886,3.3111,0.1343,0.0672,16.3826,-76.7387,28.7473,25.4271,179.413,1
13335,23.0836,10.7517,2.4588,0.5604,0.2957,-10.5491,23.0647,3.8881,84.3428,177.936,1
15593,36.2613,26.331,2.8045,0.3765,0.2173,23.9894,37.0355,28.4711,43.694,217.887,1
14330,19.7752,11.7143,2.5838,0.5737,0.3377,19.4423,14.2667,7.5062,74.0078,177.452,1
13680,74.4723,16.3375,2.5695,0.4898,0.2777,-58.356,-83.8889,-17.3587,84.6412,120.3313,1
15303,74.3058,10.8371,3.0143,0.239,0.1243,-27.2986,28.3482,9.5231,17.416,212.865,1
14472,22.4056,18.9902,2.7427,0.3345,0.1673,26.1587,17.9934,10.7812,71.429,109.319,1
15008,48.3215,6.8523,2.8283,0.4291,0.2606,-3.9211,27.5251,3.1195,56.2381,185.012,1
16945,68.6857,21.2554,2.7924,0.1968,0.0992,-54.1573,26.0299,-14.0405,22.884,246.883,1
18946,223.3749,62.8629,3.2057,0.2011,0.1496,-236.044,-161.2892,-45.6921,73.0226,280.9125,1
13110,69.8391,33.2876,2.7741,0.3329,0.1968,62.0212,41.4977,15.1292,8.1046,96.654,1
17014,135.6823,44.417,3.4271,0.2636,0.2025,-158.4877,80.6689,-27.1948,57.7513,199.0899,1
16918,79.0866,19.0213,2.6585,0.4338,0.2562,-44.8502,-58.78,-8.4784,25.4623,308.0689,1
15332,31.6903,12.4005,2.595,0.5196,0.2716,16.7129,11.6783,-4.8698,80.1735,201.3235,1
16300,68.6774,26.6616,2.9576,0.3958,0.199,-77.7625,-54.3004,-13.5594,0.9243,342.053,1
19008,133.495,40.1631,3.305,0.1169,0.0602,84.1711,-81.3323,-31.0503,28.1458,319.373,1
17180,34.3887,9.6824,2.6201,0.4197,0.2362,-31.4075,17.5025,-4.9548,17.236,223.689,1
14765,12.9541,11.0593,2.1599,0.7405,0.4533,-14.1657,7.064,-8.049,62.6258,176.496,1
15578,41.8538,6.4777,2.8021,0.3845,0.2267,60.5327,29.181,-13.987,72.9529,220.3638,1
12840,23.5442,12.3195,2.3747,0.443,0.2426,-8.9309,-11.4544,-4.0241,87.491,39.6051,1
12979,60.9884,13.5134,2.4306,0.5492,0.3135,55.9823,54.3714,-15.2843,41.8421,99.6833,1
12701,32.6417,13.4912,2.7948,0.4282,0.2285,32.1499,-17.2488,-4.8722,69.174,165.988,1
13352,21.539,10.9515,2.1399,0.5435,0.279,-13.733,-18.4413,8.682,28.4753,161.373,1
13262,35.5573,7.9008,2.6849,0.4287,0.2366,-16.8049,17.2613,-1.191,74.8965,89.7345,1
13809,61.6736,35.0896,3.1659,0.3031,0.1594,-5.9663,34.4763,-21.4243,17.1635,334.8951,1
14686,88.4421,18.0686,3.2521,0.2754,0.1641,63.4411,73.5904,-13.2573,2.1049,228.522,1
16777,67.5712,35.4825,3.5996,0.171,0.1145,38.0437,66.2577,-9.5843,59.9649,264.926,1
17408,42.0829,11.5649,2.866,0.3921,0.2457,16.5901,36.3378,-8.451,18.539,239.752,1
14522,227.184,22.5405,2.9325,0.4474,0.3102,-264.034,135.869,9.4616,48.219,265.238,1
12851,11.152,6.9539,2.4942,0.6461,0.3654,15.8527,14.4916,-4.4147,62.037,129.9786,1
17978,13.146,10.549,2.1861,0.7818,0.4788,-13.3894,-4.7839,10.6094,15.9662,142.35,1
18815,19.6388,9.8178,2.2068,0.5714,0.2888,25.8192,4.2684,-2.2875,13.0905,133.208,1
14720,180.692,56.3602,4.1013,0.0459,0.0244,-147.411,-108.561,24.3209,89.9798,231.756,1
13720,60.5877,13.0235,2.9501,0.36,0.1894,31.9826,50.8445,10.7723,0.6164,280.607,1
16033,58.4337,5.2287,2.9325,0.3411,0.1863,-80.6225,-27.9946,8.6125,41.862,114.123,1
15082,64.219,23.7924,3.0346,0.1754,0.0937,-57.6912,-49.5958,-8.3084,6.665,122.949,1
14927,50.6729,25.5368,3.0763,0.1839,0.126,7.0156,20.9158,-9.8045,57.7969,243.1062,1
17293,124.4561,25.3229,3.3427,0.1508,0.0736,68.506,68.1273,28.0317,57.5178,237.2386,1
12874,30.7317,17.3823,2.8119,0.3547,0.1812,27.222,24.8581,-13.3429,27.9949,155.017,1
18402,71.6908,18.707,2.5066,0.3956,0.193,-100.1959,47.0353,-16.3946,54.6369,225.6479,1
14732,233.1126,63.385,3.852,0.1121,0.0583,-191.9953,-267.005,-54.4777,33.7212,316.122,1
18791,18.9718,9.1695,2.5369,0.6263,0.331,-18.1494,-10.4171,-1.7737,79.1202,175.8149,1
16317,24.8831,12.3282,2.4132,0.4893,0.2782,29.306,15.2402,-3.1753,87.4535,174.1535,1
18109,238.202,95.1143,4.5848,0.0383,0.0199,-209.673,-142.109,-81.5795,88.1881,286.833,1
14596,106.719,24.0228,3.1962,0.2705,0.1607,-68.5882,-31.2941,17.1777,6.2451,294.103,1
16955,287.7708,35.2639,2.8964,0.3985,0.2743,-363.3382,199.2069,17.0406,24.9144,130.3047,1
18173,109.083,26.6171,2.9325,0.2664,0.1489,115.401,-68.3201,20.525,35.8313,122.277,1
18377,70.805,11.3047,3.0233,0.2986,0.1863,25.425,47.0624,8.3039,19.4683,188.302,1
16953,32.6604,7.1437,2.4479,0.5847,0.4153,-15.2184,-27.1046,6.3228,86.9062,124.226,1
17444,85.7777,23.85,2.7803,0.4615,0.2803,-17.2767,-106.5174,-10.2017,26.992,206.0471,1
16403,23.2237,11.7907,2.2706,0.6096,0.3218,4.822,36.9671,2.544,42.213,174.0579,1
16515,38.1486,8.632,2.5774,0.4448,0.2742,20.9577,25.1428,-13.8307,42.457,233.9802,1
17731,199.202,39.0903,3.1102,0.2731,0.1765,-181.6276,-178.5816,-17.6091,30.2934,202.944,1
14324,173.8034,120.502,3.2411,0.2114,0.1236,-235.3878,-122.8551,-48.6002,47.9885,247.0455,1
12458,297.1239,111.0237,4.0798,0.0928,0.0429,-291.9184,-269.2064,87.1154,41.3357,232.9571,1
15541,79.7511,26.878,3.0838,0.3294,0.1617,18.1773,31.0505,-25.9119,2.4255,341.9248,1
18598,15.963,9.1221,2.3641,0.8621,0.5093,13.317,-1.317,-5.5081,43.271,208.3608,1
15703,53.4968,11.4443,2.9143,0.3788,0.1955,6.0254,43.7832,9.6982,15.409,217.087,1
12419,154.583,46.0362,3.0382,0.2253,0.1204,78.1719,169.773,11.9243,56.935,200.131,1
16686,67.7065,19.3835,2.8491,0.4572,0.2923,-2.9579,-51.6782,-10.6018,51.748,322.295,1
16308,32.9045,9.7782,2.2836,0.5119,0.2676,32.59,18.2646,-11.5326,81.3208,167.8863,1
15232,121.611,23.0402,2.7612,0.3449,0.1724,-158.147,69.0576,15.8381,7.3206,332.922,1
14961,24.6793,18.832,2.7917,0.3522,0.1834,22.8132,19.4437,-13.2446,80.6523,104.099,1
13757,17.7926,11.619,2.5139,0.6003,0.4364,-0.0457,-8.0966,11.1834,40.877,221.105,1
18290,26.6952,12.7915,2.6848,0.5186,0.3357,14.2014,25.9448,8.3811,53.1794,185.215,1
16013,28.0997,8.6496,2.8038,0.5703,0.3244,7.2847,21.4257,9.6579,8.2367,217.871,1
16395,268.384,28.4885,3.3417,0.1011,0.0549,-381.734,142.104,-11.1603,1.607,95.3574,1
19009,39.5223,18.6327,2.8341,0.2462,0.1414,24.1819,23.219,-12.9245,46.268,187.097,1
18430,160.265,40.1667,2.9848,0.1916,0.0979,196.946,-122.698,-37.5659,39.554,152.981,1
18786,45.8725,18.032,2.6481,0.3665,0.1836,32.7409,62.5241,-3.4762,79.8092,177.9305,1
13503,19.7452,12.6244,2.4191,0.5181,0.2724,-17.0574,-12.5602,6.6642,86.9934,68.2801,1
17022,19.5635,12.4885,2.4882,0.447,0.2878,10.5101,6.5262,-16.8556,13.0329,154.5766,1
13205,242.091,105.708,4.6579,0.0348,0.0175,-218.465,-180.16,-52.6847,67.9337,243.077,1
18664,62.0678,17.213,2.8217,0.2763,0.1714,-32.4158,-7.2483,1.6304,6.8034,173.7192,1
15725,32.7243,11.9393,2.6325,0.4266,0.2692,20.0343,25.9423,11.1904,54.5812,107.905,1
16016,174.257,41.9042,3.4632,0.1408,0.0793,-205.994,-80.0821,36.5045,34.5846,261.822,1
17844,106.456,83.5168,4.0233,0.1101,0.0573,-102.783,-73.8359,47.3775,67.316,365.016,1
17101,34.0579,8.9101,2.5944,0.4377,0.2379,-2.6125,10.2437,-5.3386,82.3116,243.986,1
18521,37.2552,16.6907,2.43,0.3448,0.1874,-41.1337,-11.0278,6.478,84.5037,145.1456,1
15948,33.3877,15.0465,2.3865,0.4065,0.2512,13.2927,-12.1814,-2.9696,66.4296,179.5712,1
15724,120.855,42.7804,3.1316,0.1263,0.0683,-42.4223,-144.197,10.6316,61.33,42.215,1
15537,26.6759,8.0837,2.5459,0.6145,0.4168,3.0689,23.8389,10.232,4.3881,140.235,1
13206,127.894,85.1507,4.0728,0.1072,0.0547,5.8147,-131.192,45.9669,14.8284,357.872,1
14647,25.801,21.5157,2.6187,0.3049,0.1519,16.8513,13.8349,-14.1239,29.4336,142.0574,1
16080,76.0088,21.9286,2.7563,0.3418,0.2235,-96.0812,46.8498,19.7885,42.611,210.972,1
14373,89.3503,32.601,3.3096,0.1941,0.1001,-60.2659,-44.0796,5.6405,77.8166,256.5115,1
15050,79.0402,22.2641,2.8467,0.34,0.1855,-96.35,-59.3983,4.8192,5.2436,229.5046,1
15018,258.7196,188.8866,3.5198,0.0865,0.0535,328.7287,42.4851,122.2904,75.4253,135.2064,1
12642,65.9726,40.4145,3.4188,0.2489,0.1368,5.9293,-72.1374,29.005,18.0434,376.4744,1
17512,75.888,32.9711,3.2363,0.1428,0.0746,-124.168,36.3425,17.9669,43.3579,205.602,1
12847,35.4138,16.601,2.4661,0.3829,0.2103,49.0743,7.2535,-12.5486,4.75,229.41,1
16943,129.138,20.4463,2.9523,0.3984,0.2271,-149.605,36.0174,15.9074,11.718,331.26,1
18694,48.0197,13.5927,2.8152,0.3045,0.163,21.0809,33.6538,7.3235,32.779,189.51,1
18935,173.783,51.8152,3.1967,0.2899,0.1898,-150.993,-135.753,37.6977,39.5881,235.565,1
16031,122.657,72.5942,4.1544,0.0732,0.0368,-70.3677,76.1215,-44.8267,27.926,260.481,1
13610,16.2957,9.4793,2.5296,0.6223,0.3386,0.262,-9.6089,9.1627,40.3177,112.2304,1
14495,30.6918,12.6259,2.5862,0.5665,0.3249,-8.1345,-17.6811,12.4427,22.6442,194.3028,1
13588,53.4514,39.2208,3.2266,0.1583,0.0979,1.6107,-54.8529,22.3677,28.6929,159.4686,1
14189,13.2962,10.0478,2.2844,0.8104,0.5013,-12.8344,-7.4811,-11.0855,30.9608,225.772,1
18667,119.2612,88.7506,4.2007,0.0869,0.0393,-145.2984,89.044,74.6771,25.7092,336.6687,1
13363,24.424,9.2825,2.4734,0.7387,0.6224,11.1066,-9.3485,-2.9965,48.3799,161.8753,1
15923,124.497,71.6435,3.6063,0.0745,0.0387,-78.8325,-62.6969,34.3564,47.6645,176.671,1
16760,47.1809,36.1063,3.3876,0.1752,0.0863,22.0595,45.9605,11.9238,4.5803,246.882,1
16946,25.5468,9.4973,2.4322,0.5434,0.2976,7.2206,-6.477,2.7766,63.086,243.501,1
17152,62.1966,39.1505,3.2655,0.1536,0.0795,-67.5718,45.3843,-36.4981,1.945,269.637,1
15714,37.2741,10.2834,2.636,0.3884,0.1977,20.9504,24.233,7.5941,56.033,169.491,1
17576,138.701,71.5139,3.9051,0.069,0.0353,43.5917,-109.727,57.1269,65.301,132.324,1
16067,39.5056,12.0449,2.7835,0.4,0.2296,45.089,24.4368,9.1508,16.7893,207.265,1
15129,56.9366,10.2765,2.6774,0.3516,0.2034,30.2751,45.1287,-1.2219,53.2187,262.199,1
18734,40.9114,11.8167,2.6528,0.4892,0.3062,7.0176,35.4742,5.3901,9.9994,117.8781,1
16288,103.92,67.5348,4.0748,0.1339,0.0693,-107.791,-73.643,-22.9568,16.946,372.675,1
14098,17.323,10.9981,2.3096,0.5833,0.3407,1.1613,-5.9612,6.5009,31.882,247.663,1
13506,95.2551,29.3494,3.5036,0.1622,0.086,67.6239,84.4564,-26.3234,11.6527,134.1558,1
17199,65.5206,37.5868,3.2052,0.159,0.0814,4.3072,-45.6124,36.8138,61.024,193.279,1
17960,108.809,52.8057,3.7627,0.1408,0.078,-107.562,-68.5174,30.9203,24.549,286.502,1
18467,25.9462,5.9566,2.4583,0.8442,0.4677,-19.2082,5.6947,-7.4305,14.9896,145.4616,1
18992,169.0402,35.3614,3.2894,0.3349,0.1986,-162.2329,70.4636,-9.7764,48.5542,326.2363,1
13310,227.071,68.9698,3.2999,0.219,0.1276,-232.513,-169.42,-48.9747,75.756,286.85,1
12339,19.7907,19.353,2.646,0.5332,0.2678,14.7705,4.8395,-9.4805,80.0427,63.7561,1
13871,28.9049,9.6706,2.5397,0.5253,0.2785,-12.7372,-21.8162,-4.6586,34.599,220.209,1
18187,24.9571,8.7742,2.6133,0.5725,0.3715,13.4743,7.7959,-4.474,83.5747,173.35,1
14181,13.0559,10.513,2.2443,0.7749,0.4986,12.9706,4.7756,-9.2585,11.534,209.103,1
18757,26.838,18.8744,2.6392,0.455,0.2968,-8.8152,32.569,-8.5199,42.4304,145.053,1
18385,79.4345,11.5257,3.1433,0.2408,0.1219,33.5341,39.966,-10.3594,15.9883,160.674,1
17421,17.4193,8.0879,2.4728,0.7508,0.5774,-1.0364,10.7335,9.1531,39.6144,193.862,1
16688,221.7522,138.8445,3.4021,0.1322,0.035,-76.8735,118.7451,125.1524,54.683,39.9043,1
14466,149.445,87.2517,4.6444,0.0356,0.0179,-174.339,-114.413,69.7288,44.0915,242.466,1
16912,59.8575,13.9464,2.5885,0.3356,0.1836,-79.1772,-29.7511,7.3625,73.0876,50.7325,1
15919,34.4133,9.8594,2.7627,0.4974,0.2617,32.5521,25.1394,8.6112,62.831,223.964,1
13816,26.9141,5.1737,2.582,0.6229,0.3831,-14.3204,24.3284,9.7198,35.5914,92.2735,1
16457,21.0502,7.5678,2.5478,0.5659,0.2794,-37.3213,8.6044,-9.6446,51.3267,209.2636,1
14583,62.2061,34.732,3.0828,0.1967,0.1012,-58.3155,37.3336,12.9837,29.492,271.638,1
